id,name,reason
LIE,Liechtenstein,Unter beiden Schwellen: 38.019 Einwohner und 138 km².
LUX,Luxemburg,Unter beiden Schwellen: 619.896 Einwohner und 2.612 km².
MAC,Macau,Unter beiden Schwellen: 640.445 Einwohner und 23 km².
MAF,Saint-Martin,Unter beiden Schwellen: 38.002 Einwohner und 49 km².
MCO,Monaco,Unter beiden Schwellen: 38.964 Einwohner und 12 km².
MDV,Malediven,Unter beiden Schwellen: 530.953 Einwohner und 66 km².
MHL,Marshallinseln,Unter beiden Schwellen: 58.791 Einwohner und 237 km².
MNE,Montenegro,Unter beiden Schwellen: 622.137 Einwohner und 13.667 km².
MNP,Nördliche Marianen,Unter beiden Schwellen: 57.216 Einwohner und 394 km².
MSR,Montserrat,Unter beiden Schwellen: 4.649 Einwohner und 80 km².
NCL,Neukaledonien,Unter beiden Schwellen: 287.800 Einwohner und 18.667 km².
NFK,Norfolkinsel,Unter beiden Schwellen: 2.169 Einwohner und 41 km².
NIU,Niue,Unter beiden Schwellen: 1.620 Einwohner und 197 km².
NRU,Nauru,Unter beiden Schwellen: 12.581 Einwohner und 28 km².
PCN,Pitcairninseln,Unter beiden Schwellen: 54 Einwohner und 39 km².
PLW,Palau,Unter beiden Schwellen: 18.008 Einwohner und 341 km².
PSX,Palästina,Palästina - Teil der Provinz Israel
PYF,Französisch-Polynesien,Unter beiden Schwellen: 279.287 Einwohner und 2.615 km².
SAH,Westsahara,Westsahara - Teil der Provinz Marokko
SGS,Südgeorgien und die Südlichen Sandwichinseln,Südgeorgien - unbewohnt
SHN,St. Helena,Unter beiden Schwellen: 4.534 Einwohner und 186 km².
SLB,Salomonen,Unter beiden Schwellen: 669.823 Einwohner und 25.740 km².
SMR,San Marino,Unter beiden Schwellen: 33.860 Einwohner und 68 km².
SOL,Somaliland,Somaliland - Teil der Provinz Somalia
SPM,Saint-Pierre und Miquelon,Unter beiden Schwellen: 5.997 Einwohner und 205 km².
STP,São Tomé und Príncipe,Unter beiden Schwellen: 215.056 Einwohner und 986 km².
SWZ,Eswatini,Unter beiden Schwellen: 1.148.130 Einwohner und 16.992 km².
SXM,Sint Maarten,Unter beiden Schwellen: 40.733 Einwohner und 42 km².
SYC,Seychellen,Unter beiden Schwellen: 97.625 Einwohner und 174 km².
TCA,Turks- und Caicosinseln,Unter beiden Schwellen: 38.191 Einwohner und 330 km².
TON,Tonga,Unter beiden Schwellen: 104.494 Einwohner und 432 km².
TUV,Tuvalu,Unter beiden Schwellen: 11.646 Einwohner und 10 km².
VAT,Vatikanstadt,Vatikanstadt - zu klein für eine Provinz
VCT,St. Vincent und die Grenadinen,Unter beiden Schwellen: 110.589 Einwohner und 311 km².
VGB,Britische Jungferninseln,Unter beiden Schwellen: 30.030 Einwohner und 135 km².
VIR,Amerikanische Jungferninseln,Unter beiden Schwellen: 106.631 Einwohner und 316 km².
VUT,Vanuatu,Unter beiden Schwellen: 299.882 Einwohner und 11.292 km².
WLF,Wallis und Futuna,Unter beiden Schwellen: 11.558 Einwohner und 132 km².
WSM,Samoa,Unter beiden Schwellen: 197.097 Einwohner und 2.702 km².
